Code,Name,Price trend 2023-06-04
CRZ GG22,Ditto,"1,39 €"
LOR TG05,Pikachu,"5,86 €"
FST 260,Elesa's Sparkle,"6,90 €"
CRZ GG25,Bibarel,"1,61 €"
ASR 073,Machamp VMAX,"4,35 €"
BRS TG15,Sylveon VMAX,"19,31 €"
GEN RC32 ,Sylveon EX,"22,82 €"
BRS TG11,Eevee,"2,64 €"
CRZ GG39,Lumienon V,"10,87 €"
CRZ GG61,Gardenia's Vigor,"7,73 €"
BRS TG02,Vaporeon,"3,71 €"
SHF 70,Poke Kid,"4,51 €"
SHF 65,Ball Guy,"2,91 €"
SHF 66 ,Bird Keeper,"2,95 €"
CRZ GG05,Lapras,"4,13 €"
SM 233,Eevee GX,"10,86 €"
CRZ GG37,Simisear VSTAR,"11,99 €"
ASR TG23,Garchomp V,"36,81 €"
CRZ GG35,Leafeon VSTAR,"36,29 €"
CRZ GG16,Absol,"2,34 €"
BRS TG05,Zekrom,"1,72 €"
CRZ GG17,Thievul,"1,39 €"
LOR 184,Galarian Perrserker V,"32,88 €"
LTR RC23,Emolga,"9,78 €"
ROS 108,Winona,"20,67 €"
BKT 162,Giovanni's Scheme,"9,46 €"
GEN RC28,Flareon EX,"21,80 €"
STS 114,Professor Sycamore,"6,71 €"
EVO 108,Misty's Determination,"19,39 €"
SUM 144,Tauros GX,"4,77 €"
GRI 140,Sylveon GX,"12,65 €"
UNB 1,Pheromosa & Buzzwole GX,"4,58 €"
UPR 140,Pheromosa GX,"7,48 €"
LOT 213,Professor Elm's Lecture,"39,12 €"
UNB 195a ,Dedenne GX,"3,31 €"
HIF 68,Jessie & James,"14,92 €"
SSH 141,Snorlax V,"3,12 €"
BRS TG07,Dedenne,"1,02 €"
SIT TG05,Gardevoir,"1,29 €"
SIT TG22,Blissey V,"9,42 €"
HIF 6,Pinsir GX,"1,34 €"
ASR 162,Hisuian Lilligant V,"4,15 €"
PRC 104,Azumarill,"5,70 €"
SIT TG02,Milotic,"1,35 €"
SHF 72,Skyla,"8,93 €"
BRS 169,Cynthia's Ambition,"7,07 €"
UNB 61,Muk & Alolan Muk GX,"4,88 €"
UNM 35,Slowpoke & Psyduck GX,"11,84 €"
CIN 34,Alolan Golem GX,"2,23 €"
CEC 234,Koffing,"7,09 €"
CEC 4,Vileplume GX,"3,21 €"
CEC 239,Piplup,"10,56 €"
FCO 26,Malakazam EX,"5,45 €"
LOR TG02,Roserade,"0,98 €"
DRM 37,Dragonite GX,"8,64 €"
BRS 029,Kingler VMAX,"2,05 €"
EVO 109,Exeggutor,"1,42 €"
SVI 210,Drowzee,"9,81 €"
SVI 204,Slowpoke,"11,37 €"
